filename,low_ratio,mid_ratio,high_ratio,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13
Bad Bunny & Bomba Estereo_Ojitos Lindos.wav,0.3461970090866089,0.6425252556800842,0.011277757585048676,-209.2030792236328,182.06475830078125,-2.3847641944885254,40.098114013671875,-1.1023085117340088,6.859410762786865,-12.196086883544922,-3.5328829288482666,-12.374032020568848,-12.3687162399292,-7.16226863861084,3.4452009201049805,-5.7980499267578125,79.83047485351562,40.82600784301758,41.26810836791992,31.488723754882812,23.063512802124023,14.765156745910645,16.04035186767578,12.071748733520508,11.58719253540039,10.576082229614258,10.226144790649414,13.103970527648926,9.926712989807129
Bad Bunny & Chencho Corleone_Me Porto Bonito.wav,0.6951501369476318,0.2988719344139099,0.005977930035442114,-232.62429809570312,115.54505920410156,7.741220951080322,28.30368423461914,9.890562057495117,24.11189842224121,-16.092872619628906,17.336376190185547,9.286615371704102,-17.65958595275879,-10.818780899047852,8.268549919128418,-6.347436904907227,102.60842895507812,31.88670539855957,32.84513473510742,17.881668090820312,18.928958892822266,14.657877922058105,24.288232803344727,12.170393943786621,11.735450744628906,15.774083137512207,12.665260314941406,12.378708839416504,10.191255569458008
Bad Bunny_Efecto.wav,0.6176865696907043,0.3775782585144043,0.004735172726213932,-263.5710754394531,138.5167694091797,10.775495529174805,38.36739730834961,-1.0382933616638184,26.87740135192871,-12.03911304473877,-0.054551493376493454,10.2780122756958,-14.832633972167969,-19.29673194885254,7.844583034515381,-0.8962234258651733,100.48873138427734,32.026798248291016,35.358482360839844,22.49419593811035,21.434316635131836,22.36508560180664,15.909712791442871,12.62678050994873,13.847603797912598,15.169734001159668,11.067740440368652,12.742627143859863,11.131393432617188
Bad Bunny_Moscow Mule.wav,0.638530969619751,0.3516797423362732,0.009789371863007545,-225.57643127441406,174.45309448242188,11.421300888061523,14.09141731262207,-10.331815719604492,18.045398712158203,-12.301311492919922,9.195528030395508,9.141350746154785,1.2771852016448975,-4.673458576202393,4.97794246673584,-1.576996922492981,98.301025390625,40.634666442871094,29.833940505981445,30.63883399963379,23.767202377319336,25.311769485473633,15.483152389526367,18.084087371826172,16.527191162109375,14.2597074508667,13.576884269714355,10.98265266418457,8.78464126586914
Bad Bunny_Where She Goes.wav,0.3131377696990967,0.6800060868263245,0.006856180261820555,-197.0283660888672,199.6127166748047,-5.190525054931641,-15.271992683410645,-9.405279159545898,16.138507843017578,-16.843151092529297,-7.342607021331787,-14.891329765319824,-11.586289405822754,-18.465106964111328,-8.195952415466309,-7.902334690093994,100.54881286621094,42.967777252197266,33.58084487915039,36.03053283691406,17.813026428222656,13.758092880249023,16.149559020996094,18.140514373779297,9.774984359741211,8.366125106811523,9.389573097229004,10.15002727508545,11.318228721618652
Bailey Zimmerman_Religiously.wav,0.26924481987953186,0.7181207537651062,0.012634383514523506,-217.85252380371094,178.0443572998047,-16.154483795166016,15.544402122497559,-15.088950157165527,9.693344116210938,-8.76476764678955,-2.7932491302490234,-6.52494478225708,-3.474160671234131,-12.240436553955078,-9.701409339904785,-2.280691623687744,86.70321655273438,39.21224594116211,20.683605194091797,25.98528480529785,24.681514739990234,21.194599151611328,15.234045028686523,12.298839569091797,9.006433486938477,11.003397941589355,9.843504905700684,9.679512977600098,10.75888729095459
Beyonce_Break My Soul.wav,0.7508683800697327,0.23970462381839752,0.00942707434296608,-214.76344299316406,102.83103942871094,-33.27205276489258,23.33661460876465,-9.283065795898438,17.596508026123047,4.687964916229248,0.5956608057022095,-2.7809336185455322,-0.5728898048400879,6.565153121948242,3.955411434173584,-1.6563550233840942,151.46327209472656,64.79227447509766,36.142948150634766,26.686542510986328,16.469266891479492,22.81385040283203,14.695577621459961,12.655094146728516,12.279540061950684,9.213264465332031,12.53946304321289,10.236872673034668,7.6435418128967285
Beyonce_Cuff It.wav,0.8088659644126892,0.17134276032447815,0.019791265949606895,-146.84698486328125,124.43952941894531,-17.23695182800293,49.55427169799805,5.879987716674805,23.271892547607422,-8.415850639343262,23.590898513793945,-10.008584976196289,7.064579963684082,1.528193473815918,10.542387962341309,-2.8686530590057373,71.07843780517578,40.035003662109375,26.532543182373047,17.299663543701172,19.83878517150879,20.473289489746094,17.33382225036621,14.974369049072266,13.301424026489258,18.104127883911133,13.588577270507812,11.106972694396973,10.860152244567871
Billie Eilish_What Was I Made For?.wav,0.16517691314220428,0.8296536803245544,0.0051693846471607685,-292.4814147949219,131.109619140625,40.45330047607422,33.064903259277344,5.158705711364746,16.25357437133789,-3.209599733352661,7.51732873916626,-13.565478324890137,-12.525973320007324,-2.2561585903167725,-5.978188991546631,-7.8692827224731445,91.67586517333984,29.999645233154297,41.40107727050781,20.03232765197754,20.299938201904297,11.06983470916748,16.558225631713867,13.879664421081543,10.359452247619629,9.960020065307617,9.30473804473877,8.483564376831055,8.865596771240234
"Bizarrap & Shakira_Bzrp Music Sessions, Vol. 53.wav",0.7422948479652405,0.25092989206314087,0.006775259505957365,-141.10731506347656,161.66156005859375,-11.771336555480957,38.100555419921875,-7.058856964111328,23.031944274902344,-0.2596980631351471,12.406819343566895,6.735230445861816,0.05455697327852249,7.180859088897705,4.266056060791016,2.311831474304199,66.63298797607422,27.67197608947754,27.18306541442871,17.454504013061523,17.23459243774414,15.747392654418945,10.92292308807373,11.20931625366211,9.25687313079834,8.678061485290527,8.964568138122559,6.984521865844727,7.122692584991455
CKay_Love Nwantiti (Ah Ah Ah).wav,0.47605782747268677,0.5047164559364319,0.019225681200623512,-153.2528076171875,148.01197814941406,0.17850062251091003,44.720359802246094,-17.17572021484375,10.746354103088379,-12.222025871276855,6.422523498535156,-8.896286010742188,-5.3841071128845215,-4.948720455169678,1.6412705183029175,-0.7143713235855103,82.92642211914062,30.245418548583984,28.87203598022461,20.05925750732422,17.360328674316406,18.073341369628906,11.783674240112305,12.709512710571289,10.38332748413086,14.155938148498535,8.976813316345215,11.182243347167969,9.330137252807617
Camila Cabello Featuring Ed Sheeran_Bam Bam.wav,0.35044288635253906,0.597161591053009,0.0523955263197422,-192.36988830566406,108.33898162841797,-9.210465431213379,35.967323303222656,-19.28322410583496,34.74137878417969,-19.25922966003418,24.76064682006836,-14.459395408630371,6.230742931365967,-2.3021128177642822,-4.624660491943359,-6.697824954986572,84.56967163085938,33.945011138916016,21.702373504638672,22.13062858581543,21.90529441833496,15.884856224060059,17.08353042602539,13.549103736877441,13.468223571777344,11.720420837402344,11.012382507324219,9.830126762390137,8.597562789916992
"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast_We Don't Talk About Bruno.wav",0.4808485805988312,0.50904381275177,0.010107596404850483,-188.06234741210938,153.88546752929688,-12.712553977966309,36.29756546020508,-6.007988452911377,24.648113250732422,-10.36055850982666,8.74088191986084,2.1825485229492188,2.65472412109375,-0.9850658774375916,2.381981372833252,-3.555116891860962,77.8413314819336,38.41365051269531,18.634174346923828,23.603593826293945,20.29340362548828,18.41104507446289,13.08148193359375,12.875593185424805,9.933652877807617,11.292728424072266,11.144079208374023,9.343801498413086,8.64467716217041
Cody Johnson_'Til You Can't.wav,0.5660707950592041,0.4075203537940979,0.0264088474214077,-179.18040466308594,151.0132293701172,-7.525231838226318,25.183837890625,-2.730958938598633,26.4698543548584,-1.613568902015686,5.455313205718994,1.2462297677993774,0.4570353031158447,1.815950870513916,-3.7563974857330322,-2.5582096576690674,67.0932846069336,36.101497650146484,18.925735473632812,24.899188995361328,18.489683151245117,17.53444480895996,18.812854766845703,10.533287048339844,9.893377304077148,8.894580841064453,8.970954895019531,8.470731735229492,8.166650772094727
