date,year,month,rank,title,artist,weeks
2000-01-01,2000,1,92,Music Of My Heart,*NSYNC & Gloria Estefan,18
2000-01-01,2000,1,93,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,1
2000-01-01,2000,1,94,I Wanna Know,Joe,1
2000-01-01,2000,1,95,Re-arranged,Limp Bizkit,5
2000-01-01,2000,1,96,L.A. Song,Beth Hart,6
2000-01-01,2000,1,97,Gotta Man,Eve,16
2000-01-01,2000,1,98,The Quittin' Kind,Joe Diffie,1
2000-01-01,2000,1,99,Steam,Ty Herndon,12
2000-01-01,2000,1,100,NAStradamus,Nas,6
2000-02-01,2000,2,1,I Knew I Loved You,Savage Garden,16
2000-02-01,2000,2,2,What A Girl Wants,Christina Aguilera,11
2000-02-01,2000,2,3,Smooth,Santana Featuring Rob Thomas,28
2000-02-01,2000,2,4,Back At One,Brian McKnight,24
2000-02-01,2000,2,5,Get It On Tonite,Montell Jordan,16
2000-02-01,2000,2,6,Bring It All To Me,Blaque,16
2000-02-01,2000,2,7,Blue (Da Ba Dee),Eiffel 65,9
2000-02-01,2000,2,8,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas, Eve & Q-Tip",11
2000-02-01,2000,2,9,That's The Way It Is,Celine Dion,13
2000-02-01,2000,2,10,I Need To Know,Marc Anthony,22
2000-02-01,2000,2,11,My Love Is Your Love,Whitney Houston,23
2000-02-01,2000,2,12,Take A Picture,Filter,11
2000-02-01,2000,2,13,Then The Morning Comes,Smash Mouth,15
2000-02-01,2000,2,14,Show Me The Meaning Of Being Lonely,Backstreet Boys,6
2000-02-01,2000,2,15,All The Small Things,blink-182,10
2000-02-01,2000,2,16,Say My Name,Destiny's Child,7
2000-02-01,2000,2,17,Amazed,Lonestar,27
2000-02-01,2000,2,18,He Can't Love U,Jagged Edge,9
2000-02-01,2000,2,19,I Wanna Love You Forever,Jessica Simpson,17
2000-02-01,2000,2,20,Bye Bye Bye,*NSYNC,2
2000-02-01,2000,2,21,Breathe,Faith Hill,14
2000-02-01,2000,2,22,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,9
2000-02-01,2000,2,23,U Know What's Up,Donell Jones,20
2000-02-01,2000,2,24,Meet Virginia,Train,18
2000-02-01,2000,2,25,Never Let You Go,Third Eye Blind,3
2000-02-01,2000,2,26,Learn To Fly,Foo Fighters,17
2000-02-01,2000,2,27,Cowboy Take Me Away,Dixie Chicks,11
2000-02-01,2000,2,28,Shake Your Bon-Bon,Ricky Martin,12
2000-02-01,2000,2,29,My Best Friend,Tim McGraw,11
2000-02-01,2000,2,30,It Feels So Good,Sonique,3
2000-02-01,2000,2,31,Big Deal,LeAnn Rimes,17
2000-02-01,2000,2,32,Hanginaround,Counting Crows,14
2000-02-01,2000,2,33,I Wanna Know,Joe,6
2000-02-01,2000,2,34,What Do You Say,Reba,15
2000-02-01,2000,2,35,Untitled (How Does It Feel),D'Angelo,3
2000-02-01,2000,2,36,Waiting For Tonight,Jennifer Lopez,17
2000-02-01,2000,2,37,Black Balloon,Goo Goo Dolls,31
2000-02-01,2000,2,38,Rhythm Divine,Enrique Iglesias,10
2000-02-01,2000,2,39,Girl On TV,LFO,12
2000-02-01,2000,2,40,Falls Apart,Sugar Ray,4
2000-02-01,2000,2,41,Where My Girls At?,702,41
2000-02-01,2000,2,42,Smile,Lonestar,8
2000-02-01,2000,2,43,Back At One,Mark Wills,4
2000-02-01,2000,2,44,Sexual (Li Da Di),Amber,26
2000-02-01,2000,2,45,24/7,Kevon Edmonds,14
2000-02-01,2000,2,46,Love Is Blind,Eve Featuring Faith Evans,5
2000-02-01,2000,2,47,Forgot About Dre,Dr. Dre Featuring Eminem,3
2000-02-01,2000,2,48,None Of Ur Friends Business,Ginuwine,9
2000-02-01,2000,2,49,One Night Stand,J-Shin Featuring LaTocha Scott,7
2000-02-01,2000,2,50,Someday,Sugar Ray,32
2000-02-01,2000,2,51,Got To Get It,Sisqo Featuring Make It Hot,12
2000-02-01,2000,2,52,He Didn't Have To Be,Brad Paisley,16
2000-02-01,2000,2,53,Everything You Want,Vertical Horizon,3
2000-02-01,2000,2,54,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,10
2000-02-01,2000,2,55,Pop A Top,Alan Jackson,13
2000-02-01,2000,2,56,No More Rain (In This Cloud),Angie Stone,7
2000-02-01,2000,2,57,G'd Up,Snoop Dogg Presents Tha Eastsidaz,5
2000-02-01,2000,2,58,Dancin',Guy,8
2000-02-01,2000,2,59,From The Bottom Of My Broken Heart,Britney Spears,2
2000-02-01,2000,2,60,Got Your Money,Ol' Dirty Bastard Featuring Kelis,16
2000-02-01,2000,2,61,The Great Beyond,R.E.M.,7
2000-02-01,2000,2,62,I Don't Wanna,Aaliyah,2
2000-02-01,2000,2,63,Thong Song,Sisqo,2
2000-02-01,2000,2,64,The Best Day,George Strait,2
2000-02-01,2000,2,65,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,4
2000-02-01,2000,2,66,If You Love Me,Mint Condition,14
2000-02-01,2000,2,67,Caught Out There,Kelis,10
2000-02-01,2000,2,68,I Like It,Sammie,2
2000-02-01,2000,2,69,What's My Name,DMX,4
2000-02-01,2000,2,70,When I Said I Do,Clint Black,17
2000-02-01,2000,2,71,Stay The Night,IMx,18
2000-02-01,2000,2,72,How Do You Like Me Now?!,Toby Keith,2
2000-02-01,2000,2,73,Lessons Learned,Tracy Lawrence,2
2000-02-01,2000,2,74,"Tricky, Tricky",Lou Bega,2
2000-02-01,2000,2,75,Deep Inside,Mary J. Blige,13
2000-02-01,2000,2,76,Smoke Rings In The Dark,Gary Allan,3
2000-02-01,2000,2,77,Put Your Hand In Mine,Tracy Byrd,2
2000-02-01,2000,2,78,Because You Love Me,Jo Dee Messina,2
2000-02-01,2000,2,79,Love's The Only House,Martina McBride,1
2000-02-01,2000,2,80,Satisfy You,Puff Daddy Featuring R. Kelly,20
2000-02-01,2000,2,81,Breathe And Stop,Q-Tip,3
2000-02-01,2000,2,82,This Woman Needs,SHeDAISY,1
2000-02-01,2000,2,83,Angels,Robbie Williams,12
2000-02-01,2000,2,84,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",5
2000-02-01,2000,2,85,U Understand,Juvenile,1
2000-02-01,2000,2,86,Home To You,John Michael Montgomery,19
2000-02-01,2000,2,87,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,10
2000-02-01,2000,2,88,Re-arranged,Limp Bizkit,10
2000-02-01,2000,2,89,The Chemicals Between Us,Bush,19
2000-02-01,2000,2,90,Guerrilla Radio,Rage Against the Machine,15
2000-02-01,2000,2,91,L.A. Song,Beth Hart,11
2000-02-01,2000,2,92,"Live, Laugh, Love",Clay Walker,10
2000-02-01,2000,2,93,Candy,Mandy Moore,15
2000-02-01,2000,2,94,The Quittin' Kind,Joe Diffie,6
2000-02-01,2000,2,95,"4, 5, 6",Sole Featuring JT Money & Kandi,15
2000-02-01,2000,2,96,Bug A Boo,Destiny's Child,20
2000-02-01,2000,2,97,N 2 Gether Now,Limp Bizkit Featuring Method Man,10
2000-02-01,2000,2,98,Don't Say You Love Me,M2M,12
2000-02-01,2000,2,99,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,5
2000-02-01,2000,2,100,She Thinks My Tractor's Sexy,Kenny Chesney,12
2000-03-01,2000,3,1,Amazed,Lonestar,31
2000-03-01,2000,3,2,I Knew I Loved You,Savage Garden,20
2000-03-01,2000,3,3,Breathe,Faith Hill,18
2000-03-01,2000,3,4,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,13
2000-03-01,2000,3,5,Maria Maria,Santana Featuring The Product G&B,4
2000-03-01,2000,3,6,That's The Way It Is,Celine Dion,17
2000-03-01,2000,3,7,Bye Bye Bye,*NSYNC,6
2000-03-01,2000,3,8,All The Small Things,blink-182,14
2000-03-01,2000,3,9,Show Me The Meaning Of Being Lonely,Backstreet Boys,10
2000-03-01,2000,3,10,Get It On Tonite,Montell Jordan,20
2000-03-01,2000,3,11,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas, Eve & Q-Tip",15
2000-03-01,2000,3,12,What A Girl Wants,Christina Aguilera,15
2000-03-01,2000,3,13,Smooth,Santana Featuring Rob Thomas,32
2000-03-01,2000,3,14,From The Bottom Of My Broken Heart,Britney Spears,6
2000-03-01,2000,3,15,Bring It All To Me,Blaque,20
2000-03-01,2000,3,16,It Feels So Good,Sonique,7
2000-03-01,2000,3,17,Say My Name,Destiny's Child,11
2000-03-01,2000,3,18,Back At One,Brian McKnight,28
2000-03-01,2000,3,19,Take A Picture,Filter,15
2000-03-01,2000,3,20,I Need To Know,Marc Anthony,26
2000-03-01,2000,3,21,Blue (Da Ba Dee),Eiffel 65,13
2000-03-01,2000,3,22,Never Let You Go,Third Eye Blind,7
2000-03-01,2000,3,23,Thong Song,Sisqo,6
2000-03-01,2000,3,24,Then The Morning Comes,Smash Mouth,19
