filename,low_ratio,mid_ratio,high_ratio,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13
Alex Warren_Ordinary.wav,0.3689303398132324,0.6269328594207764,0.004136838484555483,-258.834228515625,162.90814208984375,11.320368766784668,25.526334762573242,-2.733947277069092,15.444230079650879,-17.225038528442383,-12.484989166259766,-24.11090850830078,-11.437825202941895,-14.781413078308105,-9.026152610778809,-1.2581762075424194,89.4421157836914,36.61455535888672,25.31020736694336,25.560108184814453,16.88837432861328,18.64937973022461,11.690350532531738,15.146327018737793,14.087522506713867,14.928558349609375,9.794116973876953,8.185649871826172,10.738556861877441
Benson Boone_Mystical Magical.wav,0.595020055770874,0.3656841516494751,0.039295781403779984,-136.20664978027344,137.88633728027344,-18.75594139099121,46.96727752685547,-6.521931171417236,21.431520462036133,-3.9990055561065674,10.95565128326416,-6.217071056365967,8.878933906555176,-0.24140486121177673,-3.3665080070495605,3.825596332550049,98.94861602783203,37.502193450927734,35.51848602294922,24.664474487304688,20.32988929748535,17.92437744140625,14.1489839553833,15.071345329284668,11.634432792663574,11.046006202697754,10.516715049743652,10.47572135925293,10.635730743408203
Benson Boone_Sorry I'm Here For Someone Else.wav,0.6102973222732544,0.36363834142684937,0.026064280420541763,-131.51937866210938,138.9221954345703,-24.253498077392578,43.27427673339844,-14.501986503601074,23.953311920166016,-8.781484603881836,11.586468696594238,-5.9751877784729,3.1055335998535156,0.08993548899888992,-0.6423024535179138,2.365463972091675,70.50746154785156,38.49517822265625,22.47041130065918,24.088605880737305,16.55721664428711,15.11055850982666,13.420814514160156,14.555689811706543,11.966598510742188,10.668346405029297,9.817291259765625,11.792491912841797,10.31722354888916
BigXthaPlug Featuring Bailey Zimmerman_All The Way.wav,0.19307953119277954,0.7604964971542358,0.046423960477113724,-171.91468811035156,148.40646362304688,-22.979265213012695,38.494991302490234,-24.726327896118164,17.454504013061523,-23.29313087463379,-0.9010512232780457,-11.517852783203125,2.0609140396118164,-14.184476852416992,-14.476902961730957,-7.206870079040527,91.5339126586914,40.57118225097656,20.359758377075195,29.69249725341797,24.377384185791016,19.54093360900879,18.93080711364746,13.42235279083252,13.518588066101074,12.572927474975586,10.557369232177734,11.910135269165039,9.32865047454834
Chappell Roan_Pink Pony Club.wav,0.3043437600135803,0.6873461604118347,0.00831008329987526,-257.84130859375,177.3916015625,15.980700492858887,20.229755401611328,-6.018373489379883,15.221736907958984,-7.2048234939575195,-5.325392723083496,-3.1735026836395264,-7.082146167755127,-7.715670585632324,-0.13783381879329681,-7.781721591949463,80.46317291259766,39.164207458496094,29.413002014160156,30.781848907470703,18.470741271972656,11.902448654174805,14.179115295410156,9.928159713745117,9.885685920715332,10.218414306640625,8.77741813659668,11.361153602600098,8.210282325744629
Charli XCX_Party 4 U.wav,0.6792734861373901,0.31301334500312805,0.007713142782449722,-334.01318359375,114.3069839477539,-13.622517585754395,-28.335744857788086,-18.85841941833496,-9.639843940734863,-22.305618286132812,-14.960771560668945,-23.732933044433594,-19.2371768951416,-13.35075855255127,-8.51604175567627,7.527634143829346,88.5088119506836,29.067039489746094,30.332387924194336,35.87326431274414,13.15359115600586,19.125940322875977,11.224501609802246,28.442855834960938,10.782824516296387,14.822362899780273,16.8302001953125,8.02728271484375,9.030111312866211
Doja Cat_Jealous Type.wav,0.6038497686386108,0.3433026671409607,0.05284763127565384,-110.02252197265625,112.53616333007812,-23.15342903137207,60.12138366699219,-15.525558471679688,29.828657150268555,-11.665000915527344,20.78825569152832,-6.321286678314209,8.69101333618164,-0.5818261504173279,-1.451985239982605,2.0758256912231445,80.99606323242188,27.363513946533203,24.358461380004883,19.169275283813477,17.974681854248047,13.955445289611816,15.245933532714844,11.18606185913086,11.510529518127441,10.115867614746094,9.170153617858887,9.890124320983887,8.4620943069458
"HUNTER X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast_Golden.wav",0.7449631690979004,0.24389590322971344,0.011140882037580013,-180.32505798339844,160.54319763183594,-13.412785530090332,16.657621383666992,-5.498385906219482,13.557455062866211,-9.793213844299316,9.57314395904541,-6.394069194793701,-7.239140510559082,4.245706558227539,2.8227691650390625,-3.356062173843384,86.66049194335938,35.058963775634766,27.237550735473633,31.64083480834961,24.637317657470703,20.740135192871094,11.390266418457031,17.899253845214844,10.361165046691895,14.004578590393066,13.739099502563477,10.954181671142578,10.658077239990234
Justin Bieber_Daisies.wav,0.8816889524459839,0.11578015983104706,0.002530895173549652,-275.6243591308594,150.60476684570312,47.12318420410156,37.80208206176758,20.6683349609375,23.488889694213867,2.7065491676330566,-0.38971319794654846,7.541423797607422,7.4608588218688965,3.2165040969848633,1.4315005540847778,4.894275188446045,90.22065734863281,43.42863082885742,37.816864013671875,27.197126388549805,20.3494815826416,12.239428520202637,12.713235855102539,11.867664337158203,9.12490463256836,7.906433582305908,7.202639102935791,6.820352077484131,6.873231887817383
KATSEYE_Gabriela.wav,0.08066148310899734,0.8839222192764282,0.03541628643870354,-175.13963317871094,151.11663818359375,-34.40483474731445,29.09848976135254,-13.686071395874023,13.306092262268066,-22.63126564025879,4.47222375869751,-11.359393119812012,-8.598312377929688,1.4728496074676514,-8.841902732849121,-6.1206817626953125,91.44241333007812,45.72076416015625,22.30181884765625,20.57125473022461,23.47490692138672,19.918737411499023,20.584692001342773,15.106377601623535,11.633461952209473,10.698816299438477,11.245389938354492,9.697450637817383,9.275739669799805
